UID,Tag,day,mode,success,time,os,version,device1,device2,device_code1,device_code2,mac1,ip1,ip2,device_code3,mac2,wifi,geo_code,ip1_sub,ip2_sub
10014,0,30,d25caee90b27fa9b,0,15:09:13,102,7.0.9,09baf2f39bc3dc86,,d125c8bd2bad72ab,88e5ddf66bbd516d,,f4f6fca25d4200a7,,,a8dc52f65085212e,,wtgf,21c1c4d691e404bf,
10015,0,3,c8741ce15ceac2a4,1,22:19:02,102,7.0.2,2c0f832d5d75448c,1607-A01,80f5fb4d6ad61a59,ef1a12b7411ae79c,,d5eaba575d21721a,,,a42638f0475aaa44,deccd43b265ed859,,0f276d732fba6d81,
10016,0,27,c8741ce15ceac2a4,1,10:04:46,102,7.0.9,09baf2f39bc3dc86,FRD-AL10,4ebe60a9b9438043,400997e5902fc16d,,99c5eee2b5b05ed9,,,88fcb6dbbb911dda,,ws2c,bb09635ca1aed214,
10017,0,16,c8741ce15ceac2a4,1,15:52:36,102,7.0.9,09baf2f39bc3dc86,LLD-AL00,75f67be5473897ed,793aaf1d515dfc0a,,c124cfd3e5e98866,,,a8dc52f65085212e,,,1b9ced1fdbf46091,
10018,0,19,d25caee90b27fa9b,1,20:39:19,102,7.0.9,09baf2f39bc3dc86,VTR-AL00,e6b670ab955aa3bb,9091f8c22163aaab,,,,,a8dc52f65085212e,33c45cb5f87dda0a,wtm7,,
10019,1,8,d25caee90b27fa9b,1,10:05:41,103,7.0.5,aca4977fbe8741e1,,,,,eff15caff41c84e6,,92342dea2ad2240d,,,,86b04f0307f27b32,
10020,0,20,c8741ce15ceac2a4,1,14:20:33,102,7.0.9,49dd36968dbfadda,OPPO A79,11fe6274612fcc56,b2dc390fcfa73bac,,73e4ceee4d7644a8,,,a8dc52f65085212e,3601680d8b136643,wm42,ed2ab573b1d3a40c,
10021,1,20,4c3d45ed38eefb7a,1,14:58:10,102,7.0.9,49dd36968dbfadda,OPPO A59M,9ab48b2f979d5207,2879e765fc4d9443,46d217c1a97c0164,5d4ec8a1eef788be,,,,,ws34,a168783677f0d6c8,
10022,0,18,acfaded7e04e7ba0,1,8:51:09,102,7.0.0,8399be6b80847240,,1c41c94d5c36a070,a2de002aabb297ea,,0fe293bea342665a,,,9799899ea604be28,,,f5009e2c6c13c80c,
10023,0,26,d25caee90b27fa9b,1,12:12:35,102,7.0.9,d2cf44cec09806cc,,72b2fb07e92da0e8,9eeae2fbe7b32b52,,4e38c93e569a295c,,,f9fb7926ee49b338,,ybm3,88febda85c2b8cac,
10024,0,22,c8741ce15ceac2a4,1,10:16:35,102,7.0.9,49dd36968dbfadda,OPPO R9KM,cb2a08fad5c3f801,8669ced9949ad96d,,074fd924cd2c77dd,,,0d32ab2ba637c0a3,,wxze,4ae0d0e45a3b0efc,
10025,0,18,c8741ce15ceac2a4,1,17:03:40,102,7.0.9,d2cf44cec09806cc,VIVO X9,7fb11fc549eb02c9,4c12ae4e736b097a,,403925799906e50d,,,7ab0c965ec58a539,,wtm9,1e8dba4b7e3e9df5,
10026,0,22,79f8b86938180c3c,,15:58:03,200,,,,,,,,,,,,,,
10027,0,22,072eee5c88d380df,1,17:39:17,102,7.0.9,0a7a83d1be65bbdc,LE X621,3a0cd5a43c254eac,9688387912d3deeb,2c64c7b1a88a7e4c,66d47453be62cd9a,,,,,,eac358913fccf514,
10028,0,28,00094ae2a1d62504,1,14:01:31,200,,,,,,,,4269f228ef666eba,,,,,,d1811df427e96b1f
10029,0,20,c8741ce15ceac2a4,1,14:22:36,102,7.0.9,49dd36968dbfadda,OPPO R9S,b3bf29eba593b37c,b2b3d5421a6a7fed,,131e196d6656a66f,,,0c5002c308557102,,wsbq,17be54063c288d35,
10030,0,30,d25caee90b27fa9b,1,15:09:00,102,4.1.7,09baf2f39bc3dc86,,00914e637af286b8,b3b014bbbcb0ada4,,329ad082dc996703,,,bb4ef193837eed83,,,d212bf8069071714,
10031,0,12,c8741ce15ceac2a4,1,13:48:37,102,7.0.5,630a1adff2a87007,REDMI 3X,3799db77be0d8c3a,b9fbcdfd371a44d4,,b7d7f0ac8e5a21da,,,a8dc52f65085212e,,wmd6,540e57b47b8bf980,
10032,0,4,6b2aa6745680f08a,1,21:37:38,200,,,,,,,,0c6701c8193acf05,,,,,,3fb619373a95d545
10033,0,28,2f3e878175e34d9c,1,18:59:32,102,7.0.9,dcc26c88f36170cc,SM-G9250,214b1ba852ddce5a,ccb53846a653efde,ff5483e156e1b6ed,b773b4151e3b058f,,,,,ww0f,98a7b9ae031db6df,
10034,0,15,c8741ce15ceac2a4,1,16:45:23,102,7.0.9,d2cf44cec09806cc,VIVO Y66,23294b405c704c3b,e071493063a43cbb,,0246aecede4655a8,,,dfe7962133cd1b01,5655d205474af525,wt4q,1e6041fb9d302a70,
10035,0,13,00094ae2a1d62504,1,21:44:25,200,,,,,,,,ed2788bd1b6b45cf,,,,,,e008ee10c0a23bfa
10036,0,1,2f3e878175e34d9c,1,15:14:18,102,7.0.5,49dd36968dbfadda,OPPO R9M,b099b1d1717c27ea,b2629023bb3d0073,3fe8b1fe99defc34,8f8542484608af11,,,,,yb3s,a4e58d0f11e2e901,
10037,0,20,09080b31b40d57e8,1,13:44:05,102,7.0.5,09baf2f39bc3dc86,HUAWEI C8813,940a17a683317b6d,,fb9cf703570e3184,2a52e7a98b1bda73,,,,,wzdh,26dfbd1ee9da3226,
10038,0,4,cd75f033b0488ace,1,8:01:26,200,,,,,,,,2ac68fce59b4acea,,,,,,8e370824fb1cd050
10039,0,1,d25caee90b27fa9b,1,10:55:48,102,7.0.5,49dd36968dbfadda,,87152c8753fe2af9,505f8944ca59abfe,,2fbf7d23e59e7097,,,9225b5d1be482f67,,wm4s,e9b94e2c5a2f25c8,
10040,0,9,c8741ce15ceac2a4,1,8:33:52,102,7.0.5,0a7a83d1be65bbdc,LE X820,afdcbc131828bce7,dadfc79815d97cb3,,f4027ca28cdf2a51,,,052f42cacb9516dd,,wsu1,cd42ebfd7fcd935e,
10041,1,15,c8741ce15ceac2a4,1,13:49:35,102,7.0.5,09baf2f39bc3dc86,BND-AL00,5ccfc339e9b41af5,2f8c2ccdb0c0b484,,12c3aee5e0aa42e1,,,a8dc52f65085212e,7906448014c20bf6,y8n6,5ee2b30774f1a58a,
10042,0,16,00094ae2a1d62504,1,9:03:10,200,,,,,,,,0ede705afa586f21,,,,,,b107025c00adad57
10043,0,13,c8741ce15ceac2a4,1,9:56:26,102,7.0.2,09baf2f39bc3dc86,BND-AL10,35574eed91a908cf,2eed1d097fc081be,,b1f8538024a26995,,,a8dc52f65085212e,3ab2b540ba0b3b28,,8fb13705f90f388b,
10044,0,28,acfaded7e04e7ba0,1,18:48:45,102,7.0.0,8399be6b80847240,,9caadaf7ed568dbc,e8d41506349a35f7,,0fe293bea342665a,,,cf4b632160d98e8b,,,f5009e2c6c13c80c,
10045,0,27,d25caee90b27fa9b,1,13:15:52,102,4.1.7,09baf2f39bc3dc86,,6af725b6dfac61a5,a0cdd20d794621cb,,99533c7d37963762,,,266f839376c4f96d,,,72309d88abb9b916,
10046,0,27,c8741ce15ceac2a4,1,12:23:54,102,7.0.9,49dd36968dbfadda,OPPO R9 PLUSM A,f8e9b0b9b0afbf15,861ece035707b001,,b2682f31b01bd78b,,,45ed411689a59471,c0504afb39cace55,wky8,aa254c5691129e91,
10047,0,8,d25caee90b27fa9b,1,15:12:39,102,7.0.5,d2cf44cec09806cc,,b1d38acffca49db3,c3cc7fb34068ba91,,b5f0863daa8ca9a3,,,ba4c76f991de3fea,,wxw0,3605dd09ca7043ca,
10048,0,30,d25caee90b27fa9b,1,16:48:01,103,7.0.7,aca4977fbe8741e1,,,,,772accbca0032da9,,2fc49fa0e11a9f65,,,,2d04f1c27d2d150f,
10049,0,8,c8741ce15ceac2a4,1,9:14:20,102,7.0.5,09baf2f39bc3dc86,BKL-AL20,44e95ffb6590dbd8,93b60131e4a7fe7e,,b69bd320733de544,,,a8dc52f65085212e,1f6fe90f9b9ebb68,y8wp,c8cc7186e8b879cb,
10050,0,23,c8741ce15ceac2a4,1,7:05:17,102,7.0.9,d2cf44cec09806cc,VIVO Y67A,bbcb20237d1b5379,436c845e92c87645,,834fa6169c5ce943,,,d212a64dbeb739bb,6f0c9a913767c5a9,wtgf,7622810c620602df,
10051,0,8,79f8b86938180c3c,,9:55:10,200,,,,,,,,,,,,,,
10052,0,23,d25caee90b27fa9b,0,8:51:36,102,7.0.9,49dd36968dbfadda,,e593b693b87aee5f,13a0611c8ad3d9ac,,a2f9c6162ab8142d,,,aaa2c124cf12d6cc,,wtsk,462c9c80ffabaa0a,
10053,0,18,c8741ce15ceac2a4,1,14:34:04,102,7.0.9,49dd36968dbfadda,OPPO A59S,ea1b84bf65145e4a,6951a6a0af6ff486,,ff0c4c8597e923b8,,,a8a2855b324ef1c2,6a98d881bca8a426,wkzu,e2e933b72177b6f3,
10054,0,9,d25caee90b27fa9b,1,9:50:03,102,7.0.5,d2cf44cec09806cc,,4a7dc7f2d5fb3732,6bdb3b7a2bda746a,,9defe48c4488bc28,,,e995499b8da03e71,,wkx8,840445ad2740a8fc,
10055,0,26,c8741ce15ceac2a4,1,20:32:36,102,7.0.9,49dd36968dbfadda,OPPO R11,fd9a8e3968e7bbd6,7c0873ecf896c82d,,5d95a45853b44fff,,,a8dc52f65085212e,,wj2b,1c875150006272a4,
10056,0,1,79f8b86938180c3c,,10:50:52,200,,,,,,,,,,,,,,
10057,0,10,d21cae2b73884a8d,1,18:25:41,200,,,,,,,,db10515808bda2d7,,,,,,a5b69f123fd7d41f
10058,1,15,d25caee90b27fa9b,1,13:48:31,102,7.0.2,49dd36968dbfadda,,597efe316379f67f,c5d4ecafd61df2fa,,7f7bba48b271cbf1,,,b74f480025261714,,wm57,c4011fdeaab4c476,
10059,0,4,c8741ce15ceac2a4,1,15:46:06,102,7.0.5,0d4e77d48255a0a2,GN8003,36d5a04fd92c8d52,daa449f972bf8062,,a35c46c52224a3ab,,,6654f8e42452faf8,2402e2cc319365f8,wm48,4a5ede65a4e24128,
10060,0,1,c8741ce15ceac2a4,1,14:55:52,102,7.0.5,09baf2f39bc3dc86,VKY-AL00,98f4178594cc6203,5c1063f1bbdcc225,,74ef39c3fb348e7a,,,a8dc52f65085212e,b697090c2b7de4c0,wtgz,1517155813bc60d7,
10061,0,6,072eee5c88d380df,0,1:06:13,102,7.0.5,49dd36968dbfadda,OPPO R9S,41ebe8099831469f,d69f0e4bd19317ec,d03a6877010720ba,2d24ae9fff0cccc3,,,,,wwt9,ab27f0f067e98865,
10062,1,30,d25caee90b27fa9b,1,7:46:33,102,4.1.7,09baf2f39bc3dc86,,b9fc7c83d49f14dc,ba270e47f72bf8a1,,329ad082dc996703,,,a1531f57c547c2b6,,,d212bf8069071714,
10063,0,10,cd75f033b0488ace,1,17:28:46,200,,,,,,,,5e50dc8a42dffd05,,,,,,f7216dea64c4a2cf
10064,1,30,963bd8a75ff9ab37,1,12:23:21,102,6.5.0,630a1adff2a87007,HM NOTE 1S,0540eea9c8e4e275,,e150561cf3b33467,9c69ac83b01f5813,,,,,wdpw,335068814731a95d,
10065,0,9,6b2aa6745680f08a,1,8:37:55,200,,,,,,,,06f0d2171a0d578d,,,,,,321fc97efc7e93a7
10066,0,27,c8741ce15ceac2a4,1,17:06:29,102,7.0.9,d2cf44cec09806cc,VIVO X21,dd92bed5f185701c,90dd8486bf479920,,08e6dcd02b6a59ee,,,a8dc52f65085212e,,ws06,c404d54644628c95,
10067,0,10,d21cae2b73884a8d,1,10:49:36,200,,,,,,,,69af95ba66e70ddd,,,,,,964f049e78050ad0
10068,0,2,c8741ce15ceac2a4,1,1:41:47,102,7.0.5,09baf2f39bc3dc86,KNT-AL10,df3a856f70c6f0f8,410e6b92dd1d3ae8,,21f2c76cfd9cf3cd,,,a8dc52f65085212e,d0916158d0d97c56,ws0q,e298fec68d2e85a9,
10069,0,27,79f8b86938180c3c,,16:29:29,200,,,,,,,,,,,,,,
10070,0,23,c8741ce15ceac2a4,1,9:06:03,102,7.0.9,09baf2f39bc3dc86,DIG-AL00,a4fb5d9da21710b3,8a08140e76b723f6,,8f8717ee574257d5,,,dd1b0f3d55b30b1d,a59c9e3faea154f9,wkjj,ed86e686bac94f4c,
10071,0,26,d25caee90b27fa9b,0,19:15:08,102,7.0.9,09baf2f39bc3dc86,,8dc73339409dc45e,3475279f96972e4f,,a82637b36f1fce77,,,a8dc52f65085212e,,wm3s,75d78c049697fcbc,
10072,0,22,c8741ce15ceac2a4,1,16:02:57,102,7.0.2,49dd36968dbfadda,OPPO A59S,67f04f69570ac997,0a89911e2536a333,,0a549fb771db3141,,,8c26f28b880a631c,,wxze,54d3629364a6f984,
10073,0,13,c8741ce15ceac2a4,1,23:44:34,102,7.0.5,09baf2f39bc3dc86,HUAWEI NXT-CL00,e8eb1ba535f9f6a9,efedfac19ab14baa,,01ebcdced94a608e,,,a8dc52f65085212e,9949e3ab065455b4,wtjj,1b9177fb025c0ec6,
10074,0,16,ac63e881c4e19402,1,17:47:57,102,7.0.9,2c0f832d5d75448c,1503-A01,ba495660da8de510,13f019577430da44,5e1224fc87ebe3a2,d3b5814c5a2e00ae,,,,,,15cee5ea12dfe1bf,
10075,0,25,d25caee90b27fa9b,1,18:57:10,103,7.0.7,aca4977fbe8741e1,,,,,17e18cd1cddec732,,a2ae68874761cf91,,,,b40238432768d69d,
10076,1,8,d25caee90b27fa9b,1,9:14:33,102,7.0.5,49dd36968dbfadda,,bd5df126a4616770,19df71e16d300c47,,a836ab10dc23f75f,,,a8dc52f65085212e,,wqtm,d6b5299076995361,
10077,0,27,acfaded7e04e7ba0,1,10:28:18,102,7.0.0,8399be6b80847240,,1e66bda2792c709c,e9851be0a9a4ae2b,,0fe293bea342665a,,,fdfc26a2543fcd33,,,f5009e2c6c13c80c,
10078,0,28,c8741ce15ceac2a4,1,12:40:03,102,7.0.9,dcc26c88f36170cc,SM-G955F,c50faf7eba139d67,483ddc3a31666b8f,,211d0e54f3da2e8d,,,b910ea1cd2e10a1d,6ec718bbccbaedd2,wk5x,d7833f8214e8019f,
10079,0,23,c8741ce15ceac2a4,1,20:18:16,103,7.0.7,e4863d18f6943c35,IPHONE 6S,,,,313dede4d4eb3b29,,671ca7d66cac20f8,,,,16f6ee241c91f5b2,
10080,0,27,c8741ce15ceac2a4,1,7:15:28,102,7.0.9,09baf2f39bc3dc86,TRT-AL00A,45bce3e0f3d131e8,a5a8089a4e478082,,48b785115ff5c563,,,a8dc52f65085212e,9d1a691ebae56ffa,,f2a9e8e208c1acc9,
10081,0,30,c8741ce15ceac2a4,1,8:35:58,102,7.0.9,49dd36968dbfadda,OPPO A77,fb9a1a9bc5de8f5f,3bf544b36c94f65d,,0c800bfd4bf4c4d3,,,a8dc52f65085212e,,wtcg,195819ec416ad3a8,
10082,0,19,6440f87037199039,1,9:08:24,102,7.0.9,d2cf44cec09806cc,VIVO Y66I A,a3e71a3f32aa7927,ac92135c8ba95627,80ef4a0828dafc09,f137321256b393b8,,,,,wm6d,a5ac42409c5f504a,
10083,0,8,c8741ce15ceac2a4,1,9:34:49,102,7.0.5,09baf2f39bc3dc86,BND-AL00,ec44bb335d4dc550,7a3c7ebdd114d271,,f4876a0064ab01f6,,,a8dc52f65085212e,8827b557b2817d9f,,9eeba78fed69e914,
10084,0,5,c8741ce15ceac2a4,1,14:41:22,102,7.0.5,09baf2f39bc3dc86,KNT-AL20,7e5b31f2a15de9ac,575882691fbccb29,,928fe6210bed2a60,,,a8dc52f65085212e,9bb52514796a1170,ws43,29d0c9fcde4b97b0,
10085,0,12,79f8b86938180c3c,,18:49:03,200,,,,,,,,,,,,,,
10086,0,6,c8741ce15ceac2a4,1,8:26:02,102,7.0.2,630a1adff2a87007,REDMI 4A,3e49289f64beda3a,35d33eaccd90af3c,,fa5f661195b0a1b9,,,3b6cbb71b03501cd,2f30910548d7d09e,wtsj,bfa0a8a60f13dd1e,
10087,0,5,c8741ce15ceac2a4,1,9:50:47,102,7.0.5,630a1adff2a87007,MI NOTE 3,fa44e0a56acc1a2c,6811ac7792cae1c6,,153c5aa2d30dfa54,,,a8dc52f65085212e,3d8bab05ec83ecf6,ws4s,17eebb70081c7c4b,
10088,0,21,c8741ce15ceac2a4,1,11:38:11,102,7.0.5,09baf2f39bc3dc86,PE-CL00,8126ca06e30a4c8e,fa5ab7c5fd8cf13e,,96a8beae88009ed1,,,5a1aa66ac7a0a68a,,wwsr,f0f90a93afcd5ca9,
10089,0,11,c8741ce15ceac2a4,1,14:58:27,102,7.0.5,0d4e77d48255a0a2,GN8003,6835d701ad883f9f,5244e5fee3225a3d,,2f201b1052495d35,,,3f5e9074c49ca7d5,,y8v0,7ae99cc01bcc177e,
10090,0,21,d25caee90b27fa9b,1,11:34:17,102,7.0.9,09baf2f39bc3dc86,,a2e207f53d9096c6,4f40cfbbb34e7839,,a0269edfa8ddda69,,,a8dc52f65085212e,,ww51,1dd7d42f1ae423bc,
10091,0,3,c8741ce15ceac2a4,1,19:25:25,102,7.0.5,a92470e4f878a3f4,M578CA,7e1bc335a7015d11,b9a377eca728f91a,,0bdf97d12c9c6202,,,0ff086609356a44c,cc94c02431addcfc,wsb0,862c0e0fc269f779,
10092,0,6,c8741ce15ceac2a4,1,20:55:01,102,7.0.5,49dd36968dbfadda,OPPO R9S,cdae4fbd20f6a032,71dbbd057f742224,,783455bc02e42995,,,a0ef20a4ce2d4e6b,,w7q1,a0165990e2cc9398,
10093,0,9,c8741ce15ceac2a4,1,14:50:26,102,7.0.5,630a1adff2a87007,MI 6,9ccc1e4875735769,704717f9775bc6a9,,c87b51ee18f50204,,,a8dc52f65085212e,,wtm1,963dbd2b48621baf,
10094,0,22,c8741ce15ceac2a4,1,21:16:01,103,7.0.7,aca4977fbe8741e1,IPHONE 5S,,,,567159f5cd9b40f6,,52e2bf6370425527,,,,19961041bfb15da3,
10095,0,11,4c3d45ed38eefb7a,1,12:00:01,103,7.0.5,aca4977fbe8741e1,IPHONE 5S,,,,b56513d04489a146,,10b82a243974f7db,,,,5ec2ddaaa2c6a044,
10096,0,9,d25caee90b27fa9b,1,10:33:39,103,7.0.5,f25fd8d0382621e8,,,,,105f48038d20e2d6,,897229ac45696b79,,,,4b99064b63840dfa,
10097,1,27,20a91b45ef8f8221,1,21:15:46,200,,,,,,,,93d7cab141d02101,,,,,,0cf49ee4c102f268
10098,0,17,c8741ce15ceac2a4,1,23:21:44,102,7.0.9,09baf2f39bc3dc86,BND-AL10,20e9669495109a63,da713bd9f89628f8,,5114bee0567f5a1b,,,a8dc52f65085212e,c77209ede3dd7cf4,wwc2,766dd8badb22a281,
10099,0,12,acfaded7e04e7ba0,1,18:45:55,102,7.0.0,8399be6b80847240,,a24775ad20fa8025,143c61c8e36ef322,,0fe293bea342665a,,,e3c0635511e28de1,,,f5009e2c6c13c80c,
10100,0,26,20a91b45ef8f8221,1,8:07:18,200,,,,,,,,485946e135f1de99,,,,,,1f4608a27610de53
10101,0,6,c8741ce15ceac2a4,1,21:16:15,102,7.0.5,d2cf44cec09806cc,VIVO Y67A,c0337aa913869eef,1a0c843c47eee2f1,,9fc5076455acee8e,,,ba8d3135bafbc24c,a418e4ab50b13919,wtq3,b4b49824d19a156d,
10102,1,28,a96a05783c922913,1,15:39:52,102,7.0.9,d2cf44cec09806cc,VIVO X20A,0e0f3ea58c3cd8fd,eea59ac36056b89c,f497918d2c931057,51b00ae18e5bbeef,,,,,wwc2,ddbec1e828409fb5,
10103,0,21,072eee5c88d380df,1,15:00:21,103,7.0.7,0d30044e44e4c4ba,IPHONE 6S PLUS,,,,d97a1b6cfe01ea94,,d6531ac1e9879dc6,,,yb31,3c3d32488e4d4102,
10104,0,16,3b02bcd4b685d7a8,1,7:08:09,200,,,,,,,,59ab4a671be656b7,,,,,,fa9d9849fe937262
10105,1,25,79f8b86938180c3c,,22:08:12,200,,,,,,,,,,,,,,
10106,0,27,d25caee90b27fa9b,1,13:24:52,102,4.1.7,09baf2f39bc3dc86,,ef4a05a83bbbc905,ece6ef7b4f6167fc,,99533c7d37963762,,,b7810d286e2cec00,,,72309d88abb9b916,
10107,0,16,c8741ce15ceac2a4,1,13:54:25,102,7.0.9,09baf2f39bc3dc86,PE-CL00,818582e1d72c76e5,23416e2d7797de5d,,5e3820a325cdd1e7,,,d6aae74245784f47,1f6c571769744027,ws4t,2b55c2160a7a1e23,
10108,0,26,c8741ce15ceac2a4,1,19:36:24,103,7.0.7,98994e108cde96a0,IPHONE 7 PLUS,,,,5c069e12e6a29a64,,571eb8fb2ed96361,,,,a9981336c7b6a88f,
10109,0,29,c8741ce15ceac2a4,1,23:49:31,103,7.0.7,aca4977fbe8741e1,IPHONE 5C,,,,7c739719212d3a95,,d2e77b29cf689be1,,,,dac4c279eb0eb081,
10110,0,26,e1d2fad8ffdc66b3,,22:11:25,200,,,,,,,,,,,,,,
10111,0,10,d25caee90b27fa9b,1,11:17:28,101,,,,,,,,,,,,,,
10112,0,3,c8741ce15ceac2a4,1,12:56:09,102,7.0.5,630a1adff2a87007,MI 5,e45cb39071eadf99,917a539fb79dc02d,,b289d9bb2c92857f,,,a8dc52f65085212e,f21b8e645a9d4a3c,wtw3,47db851ee6ecdd3d,
10113,0,1,c8741ce15ceac2a4,1,11:34:46,102,7.0.5,09baf2f39bc3dc86,COL-AL10,83b4d1da2215cbc8,20e7838681111136,,67e90b7fcc36b85e,,,a8dc52f65085212e,,wxs8,a8bf1c1f91cb44ea,
10114,0,1,acfaded7e04e7ba0,0,14:51:08,102,7.0.5,8075c9aa97d7f279,COOLPAD 8017,1453adc956edb6fb,e59ac2eb56651373,,d70ddb8b8ca14d8c,,,3bdb5b1f6fb8c87a,126a6d41133a5433,,91de99ca2fb33d64,
10115,0,24,072eee5c88d380df,1,9:24:40,102,7.0.9,a92470e4f878a3f4,M3S,6de245248c400a3e,52ce6532abe5886b,1b13a9f200720efb,492e1b0223993035,,,,,,d6d8f8127169560b,
10116,0,7,c8741ce15ceac2a4,1,18:04:02,102,7.0.5,630a1adff2a87007,REDMI NOTE 4X,ec3c05f79069dbd4,67b9922aa4a15375,,6c9756f319dec9aa,,,a8dc52f65085212e,,wtsq,3586debb779fdfb1,
10117,0,7,cca82161b59127c1,1,17:45:59,200,,,,,,,,20580fcc3580a8ee,,,,,,d7ba514b4ad333c4
10118,0,17,c8741ce15ceac2a4,1,10:36:33,102,7.0.9,09baf2f39bc3dc86,FRD-AL10,8e94ec371d9207b9,5567d47d4c52c0c7,,5b5d8a0e45984966,,,a8dc52f65085212e,,wtsk,59fc0dcd344f6f10,
10119,0,16,b501fa4fc58206b9,1,10:37:18,102,7.0.9,09baf2f39bc3dc86,VTR-AL00,3bea441c412e6840,18e5c70fddff59b8,a8dc52f65085212e,060f5521fcae8bb4,,,,,wmd6,e02cf84e6054d302,
10120,0,18,d25caee90b27fa9b,1,0:18:58,102,7.0.2,f30c6e7b308b6fa1,,e9d3fc9baaf67110,09dab01c0d56b14f,,bf8afcd56607d090,,,f1c4d6e52dd695ae,,ws1y,602d9c7ceb5fe8fe,
10121,0,27,79f8b86938180c3c,,15:56:44,200,,,,,,,,,,,,,,
10122,0,23,b501fa4fc58206b9,1,11:58:25,103,7.0.7,78bac058e6b8fb52,IPHONE 7 PLUS,,,,e292e02757dcbe63,,ba6631cf90d20185,,,wsem,5075e1a80e285a09,
10123,1,13,79f8b86938180c3c,,10:57:53,200,,,,,,,,,,,,,,
10124,0,22,c8741ce15ceac2a4,1,10:29:23,102,7.0.9,2b3c54bf5287057a,ONEPLUS A3010,d542be27a554fdb4,43020b55d55e9a67,,beb30984cffcb8f1,,,60950b8fc4ac5bf6,,wsvq,b9beb368c1a473b3,
10125,0,7,c8741ce15ceac2a4,1,17:13:57,102,7.0.5,49dd36968dbfadda,OPPO A59S,ea1b84bf65145e4a,938923aa29093aa4,,a09e1c313746a303,,,a8a2855b324ef1c2,6a98d881bca8a426,wkzu,5d2b15e9191da533,
10126,0,29,c8741ce15ceac2a4,1,15:26:13,102,7.0.9,49dd36968dbfadda,R7005,e18449f81154df2d,,,eb04efcbdb0f5e8b,,,cc7ecb855f93c75c,47d8e5a69dca870e,wkv9,07735747d50f4995,
